ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0022613	ribonucleoprotein complex biogenesis	230/5294	421/16454	0.546318289786223	1.69798283720108	9.99219303714767	5.26823699210265e-22	3.27473611429101e-18	2.69179182733329e-18	DHX37/MYBBP1A/SF3A1/UTP20/DHX9/PRPF8/URB2/CELF2/RRP1B/RPS27L/WDR77/GRWD1/GLUL/SF3B3/NGRN/LUC7L3/RPUSD1/RRP7A/NOP2/SNRPD3/PDCD11/SRSF9/SF3B4/GNL3L/PRPF3/RPSA/NLE1/RUVBL1/SNRPC/SNRNP200/NHP2/PRMT5/KRI1/NOL9/PTBP2/NOP14/EIF3B/UTP3/NMD3/DDX56/C1QBP/U2AF2/XRCC5/SF3B1/RPP40/NAT10/DDX18/NCBP1/EMG1/RPUSD4/DDX23/REXO1/DDX21/ADAR/NOC2L/NOL6/DHX30/CUL4A/RPS19BP1/DDX1/LSG1/RRP9/AATF/NOL11/HEATR1/MRTO4/NOL10/EXOSC10/LUC7L2/EIF3A/PPAN/PELP1/DDX47/PRPF6/NUDT16/PRPF19/SNRPB/DDX51/DDX54/RRP36/PES1/TSR2/COIL/PUF60/SRSF6/WDR43/EIF6/HSP90AB3P/TRMT2B/EIF1AX/POP4/TARBP2/DDX27/SFSWAP/EBNA1BP2/SDAD1/SIRT7/SF1/HTATSF1/UTP14A/EIF4H/RBM10/EXOSC6/ABT1/XRN2/ISG20L2/DDX49/NOP16/SF3B2/ERCC2/DKC1/RRP15/MPHOSPH10/CD2BP2/RIOK3/SF3A3/TRMT112/GREB1L/EIF4A3/URB1/MTG1/CELF1/WDR74/CELF3/CUL4B/HSP90AB1/FTSJ3/EXOSC5/RPP30/NOLC1/DENR/EIF3H/TSSC4/DICER1/RPS27A/PWP1/EIF3I/SHQ1/CELF4/PRKRA/MAK16/TSR1/PWP2/NSUN5/EIF4B/DDX42/RAN/CLNS1A/RRS1/PA2G4/PRPF39/LSM4/TFB1M/EIF2S2/RUVBL2/NUP88/IMP4/RPS27/SRPK2/FRG1/PIH1D1/EIF2A/USP4/RPS15A/DNTTIP2/GTPBP10/REXO4/DDX28/ATR/EIF3G/SRFBP1/RPL26L1/SURF6/USP39/CHD7/RRP1/EIF5/IMP3/PRMT7/STRAP/UTP15/SRPK1/LSM6/EIF3J/FCF1/SNRPD2/UTP18/NOL8/WDR55/BYSL/EXOSC9/NOC4L/ZNF622/BRIX1/LSM2/FBL/NUFIP1/XPO1/MRPS2/LTV1/EXOSC3/RPS3A/RPS23/GCFC2/SNRPD1/GEMIN4/EIF5B/FBLL1/WDR18/RSL24D1/NOP10/HSP90AA1/GEMIN7/RPL24/FAU/RPL7L1/MCAT/CLP1/NGDN/SART3/GEMIN5/SBDS/RPS15/MDN1/RPL26/WDR46/ERAL1/YTHDF2/BMS1/SUV39H1	230
GO:0080135	regulation of cellular response to stress	258/5294	498/16454	0.518072289156627	1.61019294404668	9.52362439877556	2.80772569450031e-20	8.72641145850698e-17	7.17300027426554e-17	INSIG1/HSPA1A/DNAJB1/FOXM1/HERPUD1/EGFR/KLHL15/CEBPG/XBP1/DHX9/PPP1R15A/RMI2/PMAIP1/PARP1/SMARCC1/EIF2AK3/MYC/BRD4/ARID1B/SF3B3/ACTB/DNAJC7/ZMPSTE24/PRDX1/ATXN7L3/FBXW7/BAG6/IER3/USP22/MAPK1/SMARCB1/MTCH2/DDAH1/MANF/BCAP31/FUS/DHFR/MID1/BAX/PCK1/CERS2/RAD50/RUVBL1/ATAD5/EIF4G1/KAT5/TAF5L/TIMELESS/HSPA5/CREB3L1/FIGNL2/NFRKB/KAT2A/POLH/BCL7C/DNAJC2/CD44/SEMA4C/SMARCA4/DNAJB9/PIAS4/C1QBP/PBRM1/SGTA/SOX4/BRCC3/BCL7B/OPA1/AIFM2/CUL4A/PTTG1IP/TMBIM6/TFIP11/OTUB1/SLC25A23/EFHD1/UFL1/MORF4L2/CXCL12/CLU/SNAI2/AKT1/TP73/DDIT3/APP/TAF9B/BCL2L1/ALOX5/ACTL6A/SMARCD1/BCL7A/SPRED1/TADA2B/IER5/SLC7A11/PARP3/RNF169/FAM168A/PARK7/PPP1R15B/ARHGEF2/PDX1/PTPN1/UBE2N/PRMT1/BRCA1/STAT3/SIRT7/WDR48/CAV1/MAPKAP1/PTPRF/GCH1/DMAP1/MCRS1/PSMD10/FAS/NBN/TAF7/ZNF385A/PTPN2/ATXN3/SVIP/LPCAT3/TELO2/CSNK2A1/ERN1/ACTR5/TAF6L/MTOR/MAPT/KLF4/DUSP10/RIPK2/USP19/SMARCE1/USP13/HMGB1/TWIST1/CDK9/SKP2/ABL1/NBR1/KIAA0319/TRIAP1/ARID2/EPHA4/USP14/SIRT6/USP25/TMX1/EPC2/NUDT16L1/LETM1/BAD/DPF2/PTPRS/OGG1/TERF2IP/ATF6/MSX1/BCL2L12/PNPLA8/MAPKAPK2/GRINA/UBQLN4/SPIRE2/RGMA/NCK1/GRN/BDKRB2/RFWD3/TADA3/CREB3/EYA3/GFI1/MAGEF1/EYA1/USP15/BID/SLC25A14/CLN3/ENY2/PLK1/PELI1/RUVBL2/NOD2/ZNHIT1/SETD2/CORO2B/PPP4R2/TAF4/HNRNPK/TRIM28/HSF1/PPIA/ATAD3A/MDM2/BCL2L11/COPS5/TXNDC12/ATR/NUPR1/EGLN1/TBC1D24/USP47/ACTR2/ING2/DPF1/ING4/TMEM33/SERINC3/INO80D/PIK3CB/BAK1/TMED2/INO80E/MEAF6/RPA2/BRD7/PIK3R1/TRRAP/SUPT3H/DAB2IP/RNFT2/RAD51AP1/AKT2/INO80/UCHL5/ATRIP/RNASEH2B/MBTPS2/RNF185/EIF2AK2/VHL/CARD9/PRRX1/POT1/MAPK3/FBLN5/SLC38A2/TP53BP1/RECQL5/DDX5/ADAM17/SENP3/ENO1/RNF168/BABAM1/MAPK8IP2/HELB/EYA4/RPL26/FANCB/SUV39H1/ARL6IP5/MAD2L2/BMP7	258
GO:0008380	RNA splicing	226/5294	434/16454	0.52073732718894	1.61847600709611	8.99329595046987	2.99352699109957e-18	6.20258792555831e-15	5.09844912799906e-15	HSPA1A/RBM3/HNRNPM/MBNL1/RBM19/AHNAK/SF3A1/RBM8A/DHX9/PPIL1/PRPF8/CELF2/KHSRP/RRP1B/WDR77/YBX1/SF3B3/HSPA8/CLK1/IVNS1ABP/LUC7L3/RBM38/ATXN7L3/SFPQ/CCNL1/ZNF326/USP22/FUS/SNRPD3/RBM22/SRSF9/MBNL2/SF3B4/PRPF3/RBM15/ALYREF/HNRNPR/SNRPC/ILF3/TAF5L/SNRNP200/SCAF1/PRMT5/RBM14/PQBP1/KAT2A/PTBP2/HNRNPUL1/NCL/PNN/C1QBP/RBM23/U2AF2/RBM42/SF3B1/EFTUD2/NCBP1/SUPT6H/PUS1/RPUSD4/DDX23/PPP1R8/DHX16/GRSF1/DDX1/CWF19L1/NUP98/TMBIM6/TFIP11/PPARGC1A/NONO/EXOSC10/DHX15/SNRNP48/HNRNPU/LUC7L2/CASC3/PUS7/PABPC1/ZNF638/DDX47/PRPF6/PRPF19/SNRPB/TADA2B/C9orf78/LARP7/DAZAP1/COIL/ZMAT2/PUF60/SRSF6/SNRNP25/RBM24/PTBP1/PRDX6/PRMT1/SFSWAP/PPIL2/SF1/RBFOX2/CCNL2/SMU1/RNPC3/HTATSF1/RBM10/FMR1/PRPF38A/SRSF7/RBM11/SF3B2/HNRNPF/SREK1IP1/RALY/MPHOSPH10/CD2BP2/SF3A3/THUMPD2/ERN1/TAF6L/RBPMS2/EIF4A3/RNF113A/CELF1/CELF3/RPS26/HOXB-AS3/TSEN54/PRPF40B/MBNL3/HNRNPA3/ZC3H14/LSM3/FAM50A/TSSC4/DBR1/DHX38/DHX40/POLR2A/CELF4/SNRNP40/RRAGC/RBMX/THOC7/KHDRBS1/ZBTB7A/ACIN1/GPKOW/HNRNPL/DDX42/TADA3/CLNS1A/CTNNBL1/PRPF39/LSM4/SNRNP70/SNRNP27/ENY2/RBM17/SRSF3/DDX39A/FASTK/TRPT1/AHNAK2/PPP4R2/SRPK2/FRG1/HNRNPK/USP4/ARMC7/IK/UBL5/RBM12B/KHDRBS3/PLRG1/THOC1/LSM7/CIRBP/ZC3H13/PPP1R9B/USP39/RBM28/PRMT7/STRAP/RBM15B/THOC2/U2AF1/SRPK1/LSM6/SNRPD2/CWC15/ESRP1/PIK3R1/TRRAP/SUPT3H/CDK12/RNPS1/HNRNPH2/LSM2/PRPF4/METTL3/TTF2/RBM4/ARGLU1/QKI/TXNL4B/GCFC2/SNRPD1/SLC38A2/GEMIN4/DDX5/SYNCRIP/PDCD7/ZRANB2/UPF1/GEMIN7/CLP1/TIA1/SART3/RBM39/GEMIN5/NOVA1/LSM5/RBPMS/TSEN34/THOC6	226
GO:0006397	mRNA processing	234/5294	464/16454	0.504310344827586	1.56742017638706	8.53929373831954	1.08870029500236e-16	1.69184025843367e-13	1.3906713768267e-13	ZFP36L1/RBM3/HNRNPM/MBNL1/RBM19/SF3A1/RBM8A/DHX9/PPIL1/PRPF8/CELF2/KHSRP/RRP1B/WDR77/YBX1/SF3B3/HSPA8/CPSF7/TRMT61A/IVNS1ABP/LUC7L3/RBM38/NSUN2/SFPQ/CCNB1/ANGEL2/ZNF326/ALKBH5/SNRPD3/RBM22/SRSF9/MBNL2/SF3B4/WDR33/PRPF3/RBM15/ALYREF/AHCYL1/HNRNPR/SNRPC/ILF3/SNRNP200/TRUB2/SCAF1/PRMT5/RBM14/PQBP1/PTBP2/HNRNPUL1/PRKACA/NCL/PNN/C1QBP/RBM23/SSU72/U2AF2/RBM42/SF3B1/EFTUD2/NCBP1/SUPT6H/PUS1/RPUSD4/DDX23/PPP1R8/DUS3L/ADAR/DHX16/GRSF1/DDX1/CWF19L1/NUP98/TFIP11/PPARGC1A/NONO/EXOSC10/DHX15/SNRNP48/HNRNPU/LUC7L2/CASC3/PUS7/PABPC1/DDX47/PRPF6/PRPF19/SNRPB/C9orf78/RPRD1B/LARP7/DAZAP1/SLTM/COIL/ZMAT2/PUF60/SRSF6/SAFB/CSTF2/SNRNP25/RBM24/PTBP1/PRDX6/SFSWAP/PPIL2/CSTF3/SF1/RBFOX2/FASTKD5/HNRNPA0/SMU1/RNPC3/HTATSF1/RBM10/FMR1/XRN2/PRPF38A/SRSF7/RBM11/SF3B2/HNRNPF/SREK1IP1/RALY/CD2BP2/SF3A3/THUMPD2/ERN1/RBPMS2/EIF4A3/PAPOLG/RNF113A/CELF1/CELF3/CDK9/HOXB-AS3/PAPOLA/TSEN54/PRPF40B/MBNL3/HNRNPA3/ZC3H14/LSM3/FAM50A/TSSC4/PAF1/DBR1/DHX38/DHX40/CELF4/SNRNP40/RBMX/THOC7/KHDRBS1/ZBTB7A/ACIN1/GPKOW/HNRNPL/DDX42/CLNS1A/PAPOLB/CTNNBL1/PRPF39/LSM4/SNRNP70/CPEB1/SNRNP27/RBM17/SRSF3/DDX39A/PPP4R2/SRPK2/FRG1/HNRNPK/HSF1/PABPN1/USP4/CPSF2/SLBP/ARMC7/IK/UBL5/KHDRBS3/PLRG1/THOC1/LSM7/PCIF1/CIRBP/ZC3H13/USP39/RBM28/PRMT7/ADARB1/STRAP/RBM15B/THOC2/SYMPK/U2AF1/SRPK1/LSM6/SAFB2/SNRPD2/CWC15/ESRP1/CDK12/RNPS1/LSM2/PRPF4/METTL3/TTF2/RBM4/ARGLU1/QKI/TXNL4B/TRUB1/GCFC2/SNRPD1/GEMIN4/DDX5/SYNCRIP/ZRANB2/UPF1/GEMIN7/CLP1/TIA1/KIN/SART3/RBM39/GEMIN5/NOVA1/PDE12/LSM5/TBRG4/RBPMS/TSEN34/THOC6	234
GO:0042254	ribosome biogenesis	153/5294	280/16454	0.546428571428571	1.6983255977117	8.11728282538815	4.4549434760679e-15	5.53838572944761e-12	4.55248329112286e-12	DHX37/MYBBP1A/UTP20/URB2/RRP1B/RPS27L/GRWD1/GLUL/NGRN/RPUSD1/RRP7A/NOP2/PDCD11/GNL3L/RPSA/NLE1/NHP2/KRI1/NOL9/NOP14/UTP3/NMD3/DDX56/C1QBP/XRCC5/RPP40/NAT10/DDX18/EMG1/RPUSD4/REXO1/DDX21/NOC2L/NOL6/DHX30/CUL4A/RPS19BP1/LSG1/RRP9/AATF/NOL11/HEATR1/MRTO4/NOL10/EXOSC10/PPAN/PELP1/DDX47/NUDT16/DDX51/DDX54/RRP36/PES1/TSR2/WDR43/EIF6/TRMT2B/EIF1AX/POP4/DDX27/EBNA1BP2/SDAD1/SIRT7/UTP14A/RBM10/EXOSC6/ABT1/XRN2/ISG20L2/DDX49/NOP16/ERCC2/DKC1/RRP15/MPHOSPH10/RIOK3/TRMT112/GREB1L/EIF4A3/URB1/MTG1/WDR74/CUL4B/FTSJ3/EXOSC5/RPP30/NOLC1/RPS27A/PWP1/MAK16/TSR1/PWP2/NSUN5/RAN/RRS1/PA2G4/TFB1M/NUP88/IMP4/RPS27/FRG1/PIH1D1/EIF2A/RPS15A/DNTTIP2/GTPBP10/REXO4/DDX28/SRFBP1/RPL26L1/SURF6/CHD7/RRP1/EIF5/IMP3/UTP15/LSM6/FCF1/UTP18/NOL8/WDR55/BYSL/EXOSC9/NOC4L/ZNF622/BRIX1/FBL/XPO1/MRPS2/LTV1/EXOSC3/RPS3A/RPS23/GEMIN4/EIF5B/FBLL1/WDR18/RSL24D1/NOP10/RPL24/FAU/RPL7L1/MCAT/NGDN/SBDS/RPS15/MDN1/RPL26/WDR46/ERAL1/YTHDF2/BMS1/SUV39H1	153
GO:0006403	RNA localization	113/5294	193/16454	0.585492227979275	1.81973727222724	7.8897298314215	3.22306495663613e-14	3.33909529507503e-11	2.74469426307224e-11	NEAT1/ZFP36L1/RBM33/RBM8A/DHX9/IGF2BP1/KHSRP/YBX1/GLE1/XPO5/NSUN2/CETN2/ALKBH5/CCT3/SMG7/SMG6/SMG5/ZFP36/RUVBL1/ALYREF/NHP2/POLDIP3/METTL1/KPNB1/NUP210/NUP188/FXR2/FYTTD1/NCBP1/SUPT6H/NOL6/NUP98/CCT5/CCT2/TGFBR2/EXOSC10/NUP50/CAPRIN1/HNRNPU/STAU1/CASC3/PRPF6/DDX19A/CCT7/NUTF2/NXT1/MCM3AP/PEG10/FMR1/POM121/SRSF7/NXF1/ZNF385A/DKC1/CETN3/SEH1L/TOMM20/EIF4A3/NUP85/NUP214/NUP54/POM121L2/SARNP/RAE1/RFTN1/SNUPN/ATXN2/SHQ1/NXF3/THOC7/KHDRBS1/SENP2/DCP2/CCT6A/RAN/ENY2/SRSF3/RUVBL2/FUBP3/DDX39A/NUP88/SETD2/NXT2/MVP/NUP107/PIH1D1/HSF1/PABPN1/ZC3H11A/ARC/ATR/SLBP/THOC1/IGF2BP2/PARN/POM121C/RBM15B/SIDT2/THOC2/NUP93/METTL3/FBL/SEC13/XPO1/QKI/CHTOP/PHAX/NUP205/NOP10/NUP133/UPF1/BICD1/THOC6	113
GO:0072594	establishment of protein localization to organelle	216/5294	441/16454	0.489795918367347	1.52230865901328	7.65759844468239	8.45737990009136e-14	7.51015335128113e-11	6.17325143384112e-11	TXNIP/INSIG1/SEC61A2/CDKN1A/EI24/HERPUD1/MDFIC/XBP1/TOMM40/LAMP2/TIMM10/HSPA8/BAP1/PEX10/FBXW7/BAG6/MTCH2/YWHAB/BCAP31/NMT1/RBM22/ZDHHC12/BAX/PCK1/AP3D1/TOMM6/KAT5/HSPA5/CALM3/KPNA2/PEX26/UBE2L3/TSPAN17/KPNB1/HSPA1L/NUP188/NEURL1B/SEC61A1/DDX56/SGTA/POLA2/CHMP4B/SNF8/ADAR/BNIP3L/PTTG1IP/SAE1/TOMM22/NUP98/MAVS/ATG14/VPS25/KPNA6/CLU/IPO4/NUP50/AKT1/SYK/ZC3H12A/DDIT3/BAG3/TOMM40L/TSC2/RAB7A/IPO5/VPS37B/BCS1L/VPS53/UBE2J2/PPP3R1/NUTF2/HUWE1/RAB10/TOMM34/TGFB1/FERMT1/STAT3/AP3M1/FIS1/POM121/DMAP1/ARIH2/GSK3A/RANBP6/PEX5/SAMM50/STK4/AP3B1/RHOU/CDH1/CRY2/CSNK2A1/LMAN1/TBK1/IFT122/RAB8B/UBL4A/AIFM1/RYR2/MAPT/TOMM20/NUP85/ATG13/NUP214/TIMM50/LAMP3/AGK/CSE1L/RAB3GAP1/NUP54/NAGPA/MFF/MED1/SPCS1/LRWD1/CFL1/SORL1/POM121L2/ELAVL1/GET4/HYAL2/SIRT6/RNF31/MAN1A1/SORT1/MFN2/SRP14/CHMP4A/TNPO3/SNUPN/LEPROT/PEX2/TSPAN10/KPNA1/WBP2/TIMM23/IPO13/TIMM9/IPO8/SNX16/PITRM1/SUFU/TIMM13/MTCH1/PEX19/TNPO1/CCT6A/HGS/ABLIM3/BMP4/RAN/CTCFL/TRAM1L1/HSPA4/SRP68/BID/AKIRIN2/RUVBL2/KCMF1/NUP88/IRGM/TIMM8A/NUP107/GOLPH3/TRIM28/SCARB2/TSPO/SPG11/FBXO7/GCC2/PEX6/STK3/LAMP1/UBL5/VPS4A/SREBF1/IPO7/ADCY10/VPS41/SEC63/IPO9/POM121C/ZFAND2B/FZD5/TNPO2/EDEM1/MTX1/NUP93/IPO11/PIK3R1/GRPEL1/USP7/VPS37C/BCL3/SRPRB/ACD/SEC13/CD68/MBTPS2/PEX13/POT1/PEX7/HK1/ING1/PKIG/DNLZ/GDAP1/NUP133/HSP90AA1/VPS13D/RAB23/TMEM126A/CHP2/TNFAIP3/PMPCA/PRICKLE1	216
GO:0016236	macroautophagy	187/5294	375/16454	0.498666666666667	1.54987936028208	7.41883914868275	5.11680173532117e-13	3.97575494834455e-10	3.26802047674328e-10	EI24/ATP6V0E2/ATP6V0A1/HSPB8/FYCO1/PIP4K2B/TBC1D5/EXOC7/ATP6V1C1/LAMP2/ATP6V0D1/VPS33A/ATP6V1G1/UBE3C/PEX10/FBXW7/ATP6V0C/RNF213/SNAP29/UBXN2B/GABARAPL1/CTSD/LARP1/RAB1B/VCP/TBC1D14/ARFIP2/WIPI1/UCHL1/SESN2/KAT5/CHMP1A/VTI1A/TMEM39A/CTTN/CHMP6/WIPI2/PRKACA/CDK5/POLDIP2/LAMTOR1/IFT88/CHMP4B/SNF8/RALB/NIPSNAP3A/VPS35/BNIP3L/RNF41/TP53INP1/ATG14/VTI1B/VPS25/UFL1/PGAM5/AKT1/SYK/RPS6KB1/ATP2A2/BAG3/YOD1/NRBP2/TSC2/RAB7A/SMCR8/PIP4K2C/TMEM41B/VPS37B/OPTN/TRAF6/CDC37/LIX1L/UFC1/ATG16L2/TBC1D25/SUPT5H/HUWE1/RAB33B/VDAC1/LRBA/GAA/OGT/VAMP8/UBE2A/USP33/C9orf72/WDR81/GSK3A/TRIM13/PEX5/VPS26A/HIF1A/ATG7/CSNK2A1/TBK1/ERN1/MTOR/RIPK2/ATP6V1A/HTT/ATG13/RAB3GAP1/KLHL3/EIF2AK1/NBR1/TP53INP2/VPS26B/ZFYVE26/ELAVL1/CUL1/RNF31/RAB5A/MFN2/CAPNS1/CHMP4A/ATP6V1B2/PEX2/SNAPIN/ACBD5/ATG16L1/ATG4D/TIMM23/RRAGC/DEPTOR/PRKAA2/EXOC4/TEX264/VMP1/CLEC16A/UBQLN4/SNX32/RPTOR/EXOC8/HGS/FEZ1/CASP3/ZFYVE1/ARL8B/HMOX1/CLN3/NOD2/CAPN1/SETD2/CALM1/IRGM/SESN3/EHMT2/TSPO/ATP6V1B1/SPG11/FBXO7/ATP6V0B/CDK5R1/NUPR1/VPS39/ULK3/PHF23/WAC/STBD1/VPS4A/CHMP1B/BTRC/ATG4C/SREBF1/ADCY10/VPS41/ATP6V1G2/EPHB2/FZD5/SCFD1/ATG12/RRAGA/USP7/ADRB2/VPS37C/CDK5RAP3/DNAJC16/ATP6V1H/GABARAPL3/ZRANB1/ATG10/MAPK3/PIK3C2B/VPS13D/RAB23/CHMP7/ULK1	187
GO:0051276	chromosome organization	234/5294	495/16454	0.472727272727273	1.46925850877494	7.30120156632072	9.25535516558879e-13	6.39236530103332e-10	5.25444373962199e-10	HSPA1A/HSPA1B/RCC1/RMI2/APEX1/KIF3B/PARP1/SMARCC1/MYC/CCNB1IP1/ARID1B/CDCA5/UHRF1/ACTB/XRCC6/ZMPSTE24/SFPQ/CCNB1/FBXW7/BAG6/CHAMP1/CTCF/MAPK1/SMARCB1/RHOA/CCT3/SMG6/NCAPH/RNF4/ESPL1/RPA1/PPP2R5D/GNL3L/SMG5/ANAPC7/RAD50/BIRC5/RUVBL1/KAT5/CHMP1A/PIBF1/KIF18B/SMC1A/NHP2/PPP1CA/STAG1/NFRKB/BCL7C/CHMP6/KPNB1/EME2/NCAPH2/BCCIP/POLDIP2/SMARCA4/MSH4/BAZ1B/PBRM1/SKA3/XRCC5/MAU2/NAT10/INCENP/ZWINT/PSRC1/BCL7B/KNTC1/CHMP4B/CENPI/LIG4/NUP98/TFIP11/ZW10/CCT5/CCT2/PPP2R1A/SYCP2/CTNNB1/EXOSC10/HNRNPU/DRG1/KIF2C/ACTL6A/UBE2C/GEN1/ERCC3/NCAPG2/SMARCD1/BCL7A/MSH2/CCT7/KIFC1/TOP2A/MAPRE1/ATRX/PARP3/TACC3/FEN1/HSP90AB3P/DOT1L/ANAPC5/MLH1/SIRT7/KIF22/KIF4A/SKA1/BANF1/TRIP13/TOP1/PKIB/MCRS1/CENPW/NBN/PDS5A/DKC1/CENPN/SMC3/NUMA1/ACTR5/CENPV/SEH1L/NHEJ1/SPICE1/MAP9/MAPT/KLF4/CDC20/SMARCE1/AKAP8/HMGB1/DNA2/SPC25/SMARCAL1/MCMBP/HSP90AB1/ABL1/NUSAP1/TNKS1BP1/ARID2/RAE1/PIF1/XPA/MIS12/SIRT6/NUDC/LSM14A/CHFR/RANGRF/CHMP4A/CCNE1/TEP1/DPF2/WRAP73/GEM/TERF2IP/XRCC3/CENPK/NAA50/KIF15/KATNB1/RFC1/KIF4B/HNRNPD/CDC6/BOD1/DCP2/SYCE1L/ACIN1/PTTG3P/ZWILCH/CCT6A/RAD51D/RAN/CDCA8/RRS1/ARHGEF10/CCDC61/PLK1/RUVBL2/SPC24/SPAG5/EHMT2/DYNC1LI1/NUP107/RAD51C/XRN1/TOPBP1/ATR/HSPA2/MAPKAPK5/IK/MSH3/DPF1/NSL1/VPS4A/HMGB2/CHMP1B/CHTF8/INO80D/MUS81/DFFB/AURKB/HMBOX1/CDC16/PARN/BRIP1/INO80E/MYBL2/ESCO1/RPA2/BRD7/USP7/INO80/ACD/SMARCA5/UCHL5/MAP3K4/PTTG1/POT1/MAPK3/HUS1/NOP10/NUP133/UPF1/HSP90AA1/HJURP/CENPT/TRAPPC12/PRICKLE1/CHMP7/NPPC/MAD2L2/SENP6/GNL3	234
GO:0006913	nucleocytoplasmic transport	167/5294	330/16454	0.506060606060606	1.57286007029112	7.24021640551138	1.89802979879716e-12	1.07255938448392e-09	8.81630300800136e-10	TXNIP/NEAT1/INSIG1/CDKN1A/EI24/MDFIC/RBM33/XBP1/RBM8A/DHX9/GLE1/XPO5/NSUN2/PTPN11/IER3/ALKBH5/YWHAB/SMG7/SMG6/RBM22/PCK1/XPO7/SMG5/ALYREF/AHCYL1/POLDIP3/KPNA2/RANBP1/KPNB1/NUP210/PRKACA/NUP188/CDK5/NMD3/FYTTD1/DDX56/NCBP1/POLA2/ADAR/NOL6/ANP32A/PTTG1IP/NUP98/LSG1/YWHAE/MAVS/KPNA6/IPO4/NUP50/AKT1/RANGAP1/SYK/ZC3H12A/BAG3/AXIN1/CASC3/TSC2/DDX19A/IPO5/XPO6/PPP3R1/NUTF2/PARK7/UBE2I/EIF6/NEMF/NXT1/TGFB1/MCM3AP/FERMT1/STAT3/SDAD1/SIRT7/RBM10/FMR1/POM121/DMAP1/NXF1/RANBP6/STK4/CDH1/PKD1/CRY2/TBK1/SEH1L/XPO4/RAPGEF3/EIF4A3/NUP85/NUP214/CSE1L/ANKRD54/NUP54/MED1/CFL1/RANBP3/POM121L2/ELAVL1/SARNP/RAE1/HYAL2/SIRT6/TNPO3/SNUPN/KPNA1/IPO13/NXF3/IPO8/THOC7/KHDRBS1/SUFU/TNPO1/BMP4/RAN/AKIRIN2/ENY2/SRSF3/DDX39A/NUP88/SETD2/RANBP3L/NXT2/NUP107/TRIM28/PABPN1/SPG11/ZC3H11A/BACH2/MDM2/STK3/GAS6/PPM1A/THOC1/IPO7/IPO9/POM121C/RBM15B/THOC2/TNPO2/NUP93/IPO11/PIK3R1/BCL3/METTL3/SEC13/RBM4/XPO1/MBTPS2/ANP32B/LTV1/FCHSD1/CHTOP/ING1/PKIG/PHAX/NUP205/EMD/NUP133/UPF1/HSP90AA1/RAB23/SFN/CHP2/RPS15/PRICKLE1/RGS14/THOC6	167
GO:0051169	nuclear transport	167/5294	330/16454	0.506060606060606	1.57286007029112	7.24021640551138	1.89802979879716e-12	1.07255938448392e-09	8.81630300800136e-10	TXNIP/NEAT1/INSIG1/CDKN1A/EI24/MDFIC/RBM33/XBP1/RBM8A/DHX9/GLE1/XPO5/NSUN2/PTPN11/IER3/ALKBH5/YWHAB/SMG7/SMG6/RBM22/PCK1/XPO7/SMG5/ALYREF/AHCYL1/POLDIP3/KPNA2/RANBP1/KPNB1/NUP210/PRKACA/NUP188/CDK5/NMD3/FYTTD1/DDX56/NCBP1/POLA2/ADAR/NOL6/ANP32A/PTTG1IP/NUP98/LSG1/YWHAE/MAVS/KPNA6/IPO4/NUP50/AKT1/RANGAP1/SYK/ZC3H12A/BAG3/AXIN1/CASC3/TSC2/DDX19A/IPO5/XPO6/PPP3R1/NUTF2/PARK7/UBE2I/EIF6/NEMF/NXT1/TGFB1/MCM3AP/FERMT1/STAT3/SDAD1/SIRT7/RBM10/FMR1/POM121/DMAP1/NXF1/RANBP6/STK4/CDH1/PKD1/CRY2/TBK1/SEH1L/XPO4/RAPGEF3/EIF4A3/NUP85/NUP214/CSE1L/ANKRD54/NUP54/MED1/CFL1/RANBP3/POM121L2/ELAVL1/SARNP/RAE1/HYAL2/SIRT6/TNPO3/SNUPN/KPNA1/IPO13/NXF3/IPO8/THOC7/KHDRBS1/SUFU/TNPO1/BMP4/RAN/AKIRIN2/ENY2/SRSF3/DDX39A/NUP88/SETD2/RANBP3L/NXT2/NUP107/TRIM28/PABPN1/SPG11/ZC3H11A/BACH2/MDM2/STK3/GAS6/PPM1A/THOC1/IPO7/IPO9/POM121C/RBM15B/THOC2/TNPO2/NUP93/IPO11/PIK3R1/BCL3/METTL3/SEC13/RBM4/XPO1/MBTPS2/ANP32B/LTV1/FCHSD1/CHTOP/ING1/PKIG/PHAX/NUP205/EMD/NUP133/UPF1/HSP90AA1/RAB23/SFN/CHP2/RPS15/PRICKLE1/RGS14/THOC6	167
